case:concept:name,concept:name,time:timestamp
0,enter,2021-01-01 00:00:00
0,pizza,2021-01-01 00:17:50
0,spaghetti,2021-01-01 00:36:22
1,enter,2021-01-01 00:49:11
0,spaghetti,2021-01-01 00:51:06
0,grill,2021-01-01 00:59:56
1,pizza,2021-01-01 01:05:41
0,grill,2021-01-01 01:13:38
2,enter,2021-01-01 01:21:19
1,spaghetti,2021-01-01 01:27:56
2,pizza,2021-01-01 01:31:40
0,leave,2021-01-01 01:37:25
3,enter,2021-01-01 01:45:14
1,grill,2021-01-01 01:47:16
2,grill,2021-01-01 01:52:34
3,grill,2021-01-01 02:00:34
4,enter,2021-01-01 02:07:00
1,spaghetti,2021-01-01 02:17:00
4,pizza,2021-01-01 02:23:00
2,spaghetti,2021-01-01 02:24:26
3,pizza,2021-01-01 02:27:01
1,grill,2021-01-01 02:31:31
2,leave,2021-01-01 02:33:50
5,enter,2021-01-01 02:35:55
3,spaghetti,2021-01-01 02:50:14
4,spaghetti,2021-01-01 02:53:11
5,spaghetti,2021-01-01 02:58:09
1,spaghetti,2021-01-01 03:00:46
4,spaghetti,2021-01-01 03:05:33
3,leave,2021-01-01 03:09:00
1,grill,2021-01-01 03:09:02
4,grill,2021-01-01 03:14:02
5,pizza,2021-01-01 03:18:01
6,enter,2021-01-01 03:20:32
4,grill,2021-01-01 03:30:53
6,pizza,2021-01-01 03:31:46
5,grill,2021-01-01 03:33:46
5,leave,2021-01-01 03:39:29
6,grill,2021-01-01 03:52:52
4,grill,2021-01-01 03:58:55
6,spaghetti,2021-01-01 04:00:24
7,enter,2021-01-01 04:01:48
6,grill,2021-01-01 04:13:02
7,pizza,2021-01-01 04:21:40
4,leave,2021-01-01 04:27:57
6,leave,2021-01-01 04:30:49
8,enter,2021-01-01 04:32:05
7,spaghetti,2021-01-01 04:41:53
8,pizza,2021-01-01 04:53:36
7,grill,2021-01-01 05:01:39
8,spaghetti,2021-01-01 05:13:35
9,enter,2021-01-01 05:15:58
7,grill,2021-01-01 05:31:31
9,pizza,2021-01-01 05:32:08
8,grill,2021-01-01 05:35:19
10,enter,2021-01-01 05:39:41
9,grill,2021-01-01 05:53:25
10,pizza,2021-01-01 05:54:12
7,grill,2021-01-01 06:01:14
11,enter,2021-01-01 06:04:45
8,spaghetti,2021-01-01 06:05:59
10,spaghetti,2021-01-01 06:11:44
9,spaghetti,2021-01-01 06:16:50
8,leave,2021-01-01 06:16:50
11,spaghetti,2021-01-01 06:19:30
9,grill,2021-01-01 06:26:51
7,grill,2021-01-01 06:30:03
10,grill,2021-01-01 06:31:35
11,grill,2021-01-01 06:35:23
12,enter,2021-01-01 06:37:08
11,grill,2021-01-01 06:42:45
9,grill,2021-01-01 06:42:53
7,leave,2021-01-01 06:44:48
11,pizza,2021-01-01 06:51:35
9,leave,2021-01-01 06:52:45
12,pizza,2021-01-01 06:54:42
13,enter,2021-01-01 06:55:19
10,grill,2021-01-01 06:58:05
14,enter,2021-01-01 07:06:28
13,grill,2021-01-01 07:13:50
12,grill,2021-01-01 07:17:36
11,spaghetti,2021-01-01 07:19:40
10,leave,2021-01-01 07:21:14
14,pizza,2021-01-01 07:21:25
15,enter,2021-01-01 07:27:40
11,grill,2021-01-01 07:31:00
12,spaghetti,2021-01-01 07:34:41
15,pizza,2021-01-01 07:40:30
13,pizza,2021-01-01 07:40:58
14,grill,2021-01-01 07:41:44
16,enter,2021-01-01 07:44:32
14,spaghetti,2021-01-01 07:50:06
12,spaghetti,2021-01-01 07:51:39
15,spaghetti,2021-01-01 07:53:18
11,grill,2021-01-01 07:53:22
16,grill,2021-01-01 07:56:09
14,spaghetti,2021-01-01 08:03:36
15,grill,2021-01-01 08:04:03
12,spaghetti,2021-01-01 08:07:04
13,spaghetti,2021-01-01 08:10:04
12,leave,2021-01-01 08:15:32
16,spaghetti,2021-01-01 08:15:39
17,enter,2021-01-01 08:21:44
15,spaghetti,2021-01-01 08:22:05
11,leave,2021-01-01 08:23:19
14,leave,2021-01-01 08:25:12
13,spaghetti,2021-01-01 08:25:16
13,leave,2021-01-01 08:34:33
15,spaghetti,2021-01-01 08:35:43
16,pizza,2021-01-01 08:36:08
18,enter,2021-01-01 08:38:50
17,pizza,2021-01-01 08:46:20
18,pizza,2021-01-01 08:46:26
15,spaghetti,2021-01-01 08:55:01
17,spaghetti,2021-01-01 08:59:36
19,enter,2021-01-01 09:04:54
16,leave,2021-01-01 09:06:33
18,spaghetti,2021-01-01 09:07:46
15,grill,2021-01-01 09:08:01
19,pizza,2021-01-01 09:12:51
17,grill,2021-01-01 09:16:26
18,spaghetti,2021-01-01 09:23:55
20,enter,2021-01-01 09:27:20
19,spaghetti,2021-01-01 09:35:07
15,spaghetti,2021-01-01 09:39:17
18,grill,2021-01-01 09:41:03
20,pizza,2021-01-01 09:43:18
19,grill,2021-01-01 09:49:57
21,enter,2021-01-01 09:51:49
19,spaghetti,2021-01-01 09:53:58
15,leave,2021-01-01 09:59:53
21,pizza,2021-01-01 10:01:23
20,grill,2021-01-01 10:05:47
18,grill,2021-01-01 10:07:56
19,grill,2021-01-01 10:14:27
20,spaghetti,2021-01-01 10:14:53
21,grill,2021-01-01 10:17:18
22,enter,2021-01-01 10:23:49
19,spaghetti,2021-01-01 10:30:20
22,pizza,2021-01-01 10:34:45
18,grill,2021-01-01 10:35:55
20,spaghetti,2021-01-01 10:36:36
19,leave,2021-01-01 10:40:30
21,spaghetti,2021-01-01 10:45:15
20,leave,2021-01-01 10:53:50
22,grill,2021-01-01 10:58:06
18,leave,2021-01-01 11:01:22
21,spaghetti,2021-01-01 11:05:35
22,spaghetti,2021-01-01 11:10:27
23,enter,2021-01-01 11:10:49
21,spaghetti,2021-01-01 11:18:04
22,spaghetti,2021-01-01 11:19:27
24,enter,2021-01-01 11:24:18
21,spaghetti,2021-01-01 11:26:49
22,leave,2021-01-01 11:29:13
23,pizza,2021-01-01 11:33:30
24,grill,2021-01-01 11:37:10
21,leave,2021-01-01 11:40:58
23,grill,2021-01-01 11:57:25
24,pizza,2021-01-01 12:00:05
25,enter,2021-01-01 12:00:57
26,enter,2021-01-01 12:12:37
27,enter,2021-01-01 12:13:18
25,pizza,2021-01-01 12:19:23
28,enter,2021-01-01 12:20:04
23,spaghetti,2021-01-01 12:23:05
26,pizza,2021-01-01 12:27:59
24,spaghetti,2021-01-01 12:29:23
27,pizza,2021-01-01 12:32:23
23,grill,2021-01-01 12:37:47
25,grill,2021-01-01 12:42:54
28,pizza,2021-01-01 12:43:00
26,grill,2021-01-01 12:43:23
29,enter,2021-01-01 12:51:22
27,spaghetti,2021-01-01 12:55:35
23,grill,2021-01-01 12:57:23
30,enter,2021-01-01 12:58:03
29,pizza,2021-01-01 12:58:21
25,spaghetti,2021-01-01 13:00:04
30,pizza,2021-01-01 13:09:20
27,grill,2021-01-01 13:09:34
26,spaghetti,2021-01-01 13:09:35
31,enter,2021-01-01 13:10:32
28,spaghetti,2021-01-01 13:13:40
25,leave,2021-01-01 13:19:50
29,spaghetti,2021-01-01 13:20:21
28,grill,2021-01-01 13:23:33
23,spaghetti,2021-01-01 13:24:57
31,pizza,2021-01-01 13:25:09
26,leave,2021-01-01 13:30:02
32,enter,2021-01-01 13:30:20
30,grill,2021-01-01 13:30:47
29,grill,2021-01-01 13:31:12
28,leave,2021-01-01 13:34:48
29,spaghetti,2021-01-01 13:35:53
27,leave,2021-01-01 13:39:46
23,grill,2021-01-01 13:39:46
30,spaghetti,2021-01-01 13:46:14
33,enter,2021-01-01 13:46:17
32,pizza,2021-01-01 13:52:41
29,spaghetti,2021-01-01 13:52:46
31,grill,2021-01-01 13:54:44
30,grill,2021-01-01 14:03:53
33,pizza,2021-01-01 14:10:36
29,leave,2021-01-01 14:10:50
31,grill,2021-01-01 14:18:31
34,enter,2021-01-01 14:20:16
31,spaghetti,2021-01-01 14:22:36
32,spaghetti,2021-01-01 14:22:49
30,leave,2021-01-01 14:24:23
33,spaghetti,2021-01-01 14:30:34
31,leave,2021-01-01 14:33:35
34,pizza,2021-01-01 14:38:26
32,grill,2021-01-01 14:44:00
33,grill,2021-01-01 14:44:11
34,spaghetti,2021-01-01 15:02:42
33,spaghetti,2021-01-01 15:03:37
35,enter,2021-01-01 15:06:29
33,grill,2021-01-01 15:12:41
34,grill,2021-01-01 15:15:31
33,grill,2021-01-01 15:16:38
35,pizza,2021-01-01 15:26:43
33,grill,2021-01-01 15:28:47
34,leave,2021-01-01 15:31:33
35,spaghetti,2021-01-01 15:48:03
33,grill,2021-01-01 15:50:10
35,spaghetti,2021-01-01 16:08:12
33,leave,2021-01-01 16:16:52
35,grill,2021-01-01 16:23:19
36,enter,2021-01-01 16:31:01
36,pizza,2021-01-01 16:43:06
36,spaghetti,2021-01-01 17:09:13
37,enter,2021-01-01 17:22:48
36,grill,2021-01-01 17:30:00
37,grill,2021-01-01 17:36:18
36,spaghetti,2021-01-01 17:37:32
36,grill,2021-01-01 17:53:27
37,grill,2021-01-01 17:57:47
38,enter,2021-01-01 18:00:56
38,pizza,2021-01-01 18:09:04
36,leave,2021-01-01 18:10:21
39,enter,2021-01-01 18:17:55
37,spaghetti,2021-01-01 18:20:00
38,spaghetti,2021-01-01 18:25:08
40,enter,2021-01-01 18:30:37
37,pizza,2021-01-01 18:31:08
39,grill,2021-01-01 18:40:45
38,grill,2021-01-01 18:45:36
41,enter,2021-01-01 18:47:20
39,spaghetti,2021-01-01 18:48:13
37,grill,2021-01-01 18:55:06
40,pizza,2021-01-01 18:55:09
42,enter,2021-01-01 18:57:02
41,spaghetti,2021-01-01 18:58:41
39,pizza,2021-01-01 19:03:42
43,enter,2021-01-01 19:09:37
38,spaghetti,2021-01-01 19:12:07
41,pizza,2021-01-01 19:13:41
37,spaghetti,2021-01-01 19:14:56
40,grill,2021-01-01 19:17:42
42,pizza,2021-01-01 19:18:53
43,pizza,2021-01-01 19:21:38
39,spaghetti,2021-01-01 19:24:22
40,spaghetti,2021-01-01 19:26:27
37,spaghetti,2021-01-01 19:26:45
42,grill,2021-01-01 19:30:52
44,enter,2021-01-01 19:31:13
38,spaghetti,2021-01-01 19:31:20
41,grill,2021-01-01 19:33:09
43,spaghetti,2021-01-01 19:33:35
40,grill,2021-01-01 19:37:26
41,spaghetti,2021-01-01 19:39:55
38,leave,2021-01-01 19:40:40
39,spaghetti,2021-01-01 19:41:31
44,pizza,2021-01-01 19:45:18
37,grill,2021-01-01 19:46:15
43,grill,2021-01-01 19:47:17
41,spaghetti,2021-01-01 19:48:51
45,enter,2021-01-01 19:50:54
37,leave,2021-01-01 19:52:33
43,leave,2021-01-01 19:54:47
39,leave,2021-01-01 19:55:41
41,leave,2021-01-01 19:58:11
42,spaghetti,2021-01-01 19:58:26
44,spaghetti,2021-01-01 20:02:16
45,spaghetti,2021-01-01 20:08:28
46,enter,2021-01-01 20:12:50
42,grill,2021-01-01 20:14:54
44,grill,2021-01-01 20:16:10
42,grill,2021-01-01 20:28:06
45,pizza,2021-01-01 20:29:13
46,pizza,2021-01-01 20:33:17
42,leave,2021-01-01 20:42:25
44,leave,2021-01-01 20:46:32
45,spaghetti,2021-01-01 20:53:36
46,spaghetti,2021-01-01 20:56:48
47,enter,2021-01-01 20:59:57
45,grill,2021-01-01 21:07:08
47,pizza,2021-01-01 21:07:18
46,grill,2021-01-01 21:10:55
45,leave,2021-01-01 21:13:24
46,spaghetti,2021-01-01 21:26:29
47,grill,2021-01-01 21:34:46
46,leave,2021-01-01 21:41:20
48,enter,2021-01-01 21:45:35
47,spaghetti,2021-01-01 21:53:19
47,spaghetti,2021-01-01 22:01:27
48,grill,2021-01-01 22:03:51
47,grill,2021-01-01 22:11:29
48,pizza,2021-01-01 22:31:35
47,spaghetti,2021-01-01 22:33:54
49,enter,2021-01-01 22:44:14
47,grill,2021-01-01 22:47:38
48,spaghetti,2021-01-01 22:53:08
47,grill,2021-01-01 22:53:40
49,pizza,2021-01-01 22:55:40
48,spaghetti,2021-01-01 23:08:05
47,grill,2021-01-01 23:08:40
50,enter,2021-01-01 23:10:17
49,grill,2021-01-01 23:16:53
47,grill,2021-01-01 23:16:55
47,grill,2021-01-01 23:20:54
51,enter,2021-01-01 23:23:50
50,pizza,2021-01-01 23:27:53
48,spaghetti,2021-01-01 23:28:18
51,pizza,2021-01-01 23:39:09
47,grill,2021-01-01 23:43:59
48,leave,2021-01-01 23:47:05
49,spaghetti,2021-01-01 23:48:34
52,enter,2021-01-01 23:49:14
50,spaghetti,2021-01-01 23:52:22
52,pizza,2021-01-02 00:00:03
49,spaghetti,2021-01-02 00:04:24
51,grill,2021-01-02 00:06:27
50,grill,2021-01-02 00:07:51
47,grill,2021-01-02 00:10:02
50,spaghetti,2021-01-02 00:14:53
53,enter,2021-01-02 00:16:40
52,grill,2021-01-02 00:19:56
49,spaghetti,2021-01-02 00:22:22
53,pizza,2021-01-02 00:25:42
50,leave,2021-01-02 00:25:48
51,grill,2021-01-02 00:27:33
47,leave,2021-01-02 00:27:40
49,leave,2021-01-02 00:34:22
52,spaghetti,2021-01-02 00:39:45
