case:concept:name,concept:name,org:resource,time:timestamp,lifecycle:transition
0,register request,Pete,2021-01-01 01:00:00,COMPLETE
0,check ticket,Mike,2021-01-01 22:15:22,COMPLETE
0,examine casually,Ellen,2021-01-01 22:15:22,COMPLETE
0,decide,Sara,2021-01-01 22:15:22,COMPLETE
0,reinitiate request,Sara,2021-01-02 02:51:53,COMPLETE
1,register request,Pete,2021-01-02 11:25:40,COMPLETE
0,examine thoroughly,Sean,2021-01-02 14:14:49,COMPLETE
1,check ticket,Mike,2021-01-03 21:08:31,COMPLETE
2,register request,Ellen,2021-01-03 21:42:24,COMPLETE
2,check ticket,Mike,2021-01-04 18:42:34,COMPLETE
3,register request,Mike,2021-01-05 08:23:29,COMPLETE
0,check ticket,Ellen,2021-01-05 08:43:54,COMPLETE
3,examine thoroughly,Sean,2021-01-05 17:23:34,COMPLETE
0,decide,Sara,2021-01-06 15:36:15,COMPLETE
2,examine casually,Mike,2021-01-06 17:38:30,COMPLETE
4,register request,Mike,2021-01-06 18:31:59,COMPLETE
4,examine casually,Mike,2021-01-06 18:31:59,COMPLETE
1,examine thoroughly,Sue,2021-01-07 07:25:34,COMPLETE
2,decide,Sara,2021-01-07 08:21:36,COMPLETE
3,check ticket,Ellen,2021-01-07 18:38:58,COMPLETE
1,decide,Sara,2021-01-07 21:53:37,COMPLETE
1,reject request,Mike,2021-01-07 21:53:37,COMPLETE
5,register request,Pete,2021-01-08 04:29:52,COMPLETE
5,examine casually,Mike,2021-01-08 17:21:19,COMPLETE
6,register request,Mike,2021-01-09 14:58:56,COMPLETE
6,examine casually,Ellen,2021-01-10 15:50:09,COMPLETE
7,register request,Ellen,2021-01-11 01:28:58,COMPLETE
4,check ticket,Ellen,2021-01-11 08:16:58,COMPLETE
0,pay compensation,Ellen,2021-01-11 12:49:50,COMPLETE
7,check ticket,Mike,2021-01-11 15:49:37,COMPLETE
2,reject request,Pete,2021-01-11 15:53:57,COMPLETE
6,check ticket,Mike,2021-01-11 19:36:10,COMPLETE
3,decide,Sara,2021-01-11 23:26:10,COMPLETE
8,register request,Mike,2021-01-12 11:44:27,COMPLETE
3,reinitiate request,Sara,2021-01-12 12:08:51,COMPLETE
8,examine casually,Ellen,2021-01-13 02:17:20,COMPLETE
8,check ticket,Mike,2021-01-13 03:10:30,COMPLETE
4,decide,Sara,2021-01-13 06:31:17,COMPLETE
5,check ticket,Mike,2021-01-13 07:51:20,COMPLETE
9,register request,Mike,2021-01-13 22:00:53,COMPLETE
5,decide,Sara,2021-01-14 15:37:08,COMPLETE
9,check ticket,Ellen,2021-01-14 16:48:19,COMPLETE
5,reinitiate request,Sara,2021-01-15 03:04:04,COMPLETE
3,examine thoroughly,Sue,2021-01-15 08:16:49,COMPLETE
6,decide,Sara,2021-01-15 10:48:10,COMPLETE
9,examine casually,Mike,2021-01-16 01:18:14,COMPLETE
8,decide,Sara,2021-01-16 20:55:28,COMPLETE
7,examine casually,Mike,2021-01-17 04:42:45,COMPLETE
5,examine thoroughly,Sue,2021-01-17 17:28:28,COMPLETE
3,check ticket,Ellen,2021-01-18 18:09:04,COMPLETE
6,reject request,Ellen,2021-01-19 08:22:14,COMPLETE
9,decide,Sara,2021-01-19 10:56:50,COMPLETE
3,decide,Sara,2021-01-19 17:49:46,COMPLETE
7,decide,Sara,2021-01-19 22:55:43,COMPLETE
4,reject request,Ellen,2021-01-20 10:24:20,COMPLETE
5,check ticket,Ellen,2021-01-20 16:02:41,COMPLETE
5,decide,Sara,2021-01-21 01:24:59,COMPLETE
5,reject request,Ellen,2021-01-21 06:01:01,COMPLETE
9,reinitiate request,Sara,2021-01-22 09:57:29,COMPLETE
9,examine casually,Ellen,2021-01-22 09:57:29,COMPLETE
9,check ticket,Mike,2021-01-22 09:57:29,COMPLETE
9,decide,Sara,2021-01-22 09:57:29,COMPLETE
9,reject request,Ellen,2021-01-22 09:57:29,COMPLETE
8,examine casually,Mike,2021-01-24 08:34:48,COMPLETE
8,check ticket,Ellen,2021-01-25 00:33:32,COMPLETE
7,examine thoroughly,Sue,2021-01-26 23:46:25,COMPLETE
3,pay compensation,Mike,2021-01-27 07:13:04,COMPLETE
8,decide,Sara,2021-01-28 00:44:21,COMPLETE
8,pay compensation,Ellen,2021-01-30 02:17:26,COMPLETE
7,check ticket,Ellen,2021-01-31 20:50:29,COMPLETE
7,decide,Sara,2021-02-02 04:42:29,COMPLETE
7,reject request,Ellen,2021-02-02 04:42:29,COMPLETE
