case:concept:name,concept:name,time:timestamp
0,register request,2021-01-01 01:00:00
1,register request,2021-01-01 04:00:30
1,check ticket,2021-01-01 04:00:30
2,register request,2021-01-01 06:58:21
3,register request,2021-01-01 10:03:24
3,check ticket,2021-01-01 10:03:24
4,register request,2021-01-01 12:58:49
4,check ticket,2021-01-01 14:02:49
4,examine casually,2021-01-01 14:02:49
4,decide,2021-01-01 14:02:49
5,register request,2021-01-01 15:51:08
0,check ticket,2021-01-01 16:05:37
6,register request,2021-01-01 18:52:38
2,examine thoroughly,2021-01-01 19:15:23
0,examine casually,2021-01-01 21:06:09
5,examine casually,2021-01-01 21:38:37
7,register request,2021-01-01 21:54:26
8,register request,2021-01-02 00:51:55
9,register request,2021-01-02 03:49:41
9,check ticket,2021-01-02 04:17:23
7,check ticket,2021-01-02 16:21:14
7,examine casually,2021-01-02 16:21:14
7,decide,2021-01-02 16:21:14
5,check ticket,2021-01-02 16:42:43
1,examine casually,2021-01-02 16:57:12
6,check ticket,2021-01-02 21:32:56
8,examine casually,2021-01-03 03:21:15
5,decide,2021-01-04 04:07:48
6,examine thoroughly,2021-01-05 00:15:21
3,examine casually,2021-01-05 03:26:40
0,decide,2021-01-05 04:40:39
0,pay compensation,2021-01-05 04:40:39
3,decide,2021-01-05 05:43:32
7,reject request,2021-01-05 06:59:31
8,check ticket,2021-01-05 10:20:36
8,decide,2021-01-05 10:20:36
9,examine thoroughly,2021-01-06 05:26:17
3,reinitiate request,2021-01-07 06:13:19
2,check ticket,2021-01-07 10:53:57
1,decide,2021-01-07 11:26:29
2,decide,2021-01-07 13:59:42
9,decide,2021-01-07 14:56:56
6,decide,2021-01-08 01:05:00
1,reject request,2021-01-08 13:13:44
4,reinitiate request,2021-01-08 23:00:08
4,examine casually,2021-01-08 23:00:08
4,check ticket,2021-01-09 02:54:41
2,reinitiate request,2021-01-09 03:51:51
5,pay compensation,2021-01-09 05:32:32
6,pay compensation,2021-01-09 21:36:38
3,check ticket,2021-01-10 10:26:36
3,examine casually,2021-01-10 10:26:36
2,examine casually,2021-01-10 18:23:09
2,check ticket,2021-01-10 18:23:09
9,reject request,2021-01-10 20:44:30
8,pay compensation,2021-01-11 18:27:44
4,decide,2021-01-11 23:38:51
3,decide,2021-01-12 14:23:01
3,reinitiate request,2021-01-12 14:23:01
2,decide,2021-01-13 06:18:55
4,pay compensation,2021-01-13 22:16:55
3,check ticket,2021-01-14 08:57:57
3,examine thoroughly,2021-01-14 13:01:57
2,reject request,2021-01-15 05:35:29
3,decide,2021-01-17 17:42:09
3,reject request,2021-01-22 13:13:21
